name,latitude,longitude,address,barangay
IBABANG IYAM ELEMENTARY SCHOOL - MAIN,13.93669127,121.6088464,"PUROK RODRIGUEZ, BARANGAY IBABANG IYAM",Ibabang Iyam
SAMKAL MULTI-PURPOSE HALL,13.92839196,121.6088247,"PUROK SAMKAL, BARANGAY IBABANG IYAM",Ibabang Iyam
TALABIS HEALTH CENTER,13.92839196,121.6084814,"PUROK TALABIS, BARANGAY IBABANG IYAM",Ibabang Iyam
TALABIS MULTI PURPOSE HALL,13.9159268,121.6084814,"PUROK TALABIS, BARANGAY IBABANG IYAM",Ibabang Iyam
IBABANG TALIM ELEMENTARY SCHOOL,13.97198306,121.577738,"PUROK MASAYAHIN, BARANGAY IBABANG TALIM",Ibabang Talim
ILAYANG DUPAY ELEMENTARY SCHOOL,13.93680046,121.6237558,BARANGAY ILAYANG DUPAY,Ilayang Dupay
ILAYANG IYAM BRGY HALL,13.94436553,121.6028818,BARANGAY ILAYANG IYAM,Ilayang Iyam
GREEN JOURNEY EVACUATION CENTER,13.94707189,121.5652871,"PUROK MAULAWIN, BARANGAY ISABANG",Isabang
CUESTA VERDE COVERED COURT,13.94993221,121.5827102,"PUROK YAMBO, BARANGAY ISABANG",Isabang
ISABANG ELEMENTARY SCHOOL,13.9324439,121.5812119,"PUROK YAMBO, BARANGAY ISABANG",Isabang
ATIN-ATIN DAY CARE CENTER,13.93421436,121.6187716,"PUROK ATIN-ATIN 2, BARANGAY MARKET VIEW",Market View
TINAPA LIVELIHOOD CENTER,13.93412056,121.6207114,"PUROK GREENHILLS 2-PARANG, BARANGAY MARKET VIEW",Market View
LUCENA EAST 1 ELEMENTARY SCHOOL,13.92156893,121.6179272,"PUROK PAGKAKAISA, BARANGAY MARKET VIEW",Market View
DAPI COMMUNITY CHURCH,13.9334434,121.6415711,BARANGAY MAYAO CASTILLO,Mayao Castillo
MAYAO CASTILLO DAY CARE CENTER,13.92925459,121.6616079,BARANGAY MAYAO CASTILLO,Mayao Castillo
MAYAO CASTILLO ELEMENTARY SCHOOL,13.93343618,121.6615715,"PUROK CENTRAL, BARANGAY MAYAO CASTILLO",Mayao Castillo
PUROK ATIS EVACUATION CENTER,13.91904758,121.6237374,"PUROK ATIS 1, BARANGAY MAYAO CROSSING",Mayao Crossing
BLISS ELEMENTARY SCHOOL,13.92612186,121.6212695,"PUROK LANGKA 1, BARANGAY MAYAO CROSSING",Mayao Crossing
MAYAO CROSSING ELEMENTARY SCHOOL,13.94310588,121.623259,"PUROK LANGKA 1, BARANGAY MAYAO CROSSING",Mayao Crossing
YOUNG LEARNERS' HOME,13.93445186,121.6243389,None,Mayao Kanluran
MAYAO PARADA NATIONAL HIGH SCHOOL,13.95460909,121.6452917,BARANGAY MAYAO PARADA,Mayao Parada
MAYAO SILANGAN BARANGAY HALL,13.95974398,121.6471341,"PUROK DAMA DE NOCHE, BARANGAY MAYAO SILANGAN",Mayao Silangan
ELLIPSE BUILDING,13.96376105,121.6438281,"PUROK ILANG-ILANG 2, BARANGAY MAYAO SILANGAN",Mayao Silangan
HERMANA FAUSTA ELEMENTARY SCHOOL,13.94710405,121.6488326,"PUROK ILANG-ILANG 2, BARANGAY MAYAO SILANGAN",Mayao Silangan
LUCENA CITY NATIONAL HIGH SCHOOL - MAYAO SILANGAN EXT.,13.89589361,121.645453,"PUROK ROSAL 1, BARANGAY MAYAO SILANGAN",Mayao Silangan
RANSOHAN DAY CARE CENTER,13.89481047,121.596041,BARANGAY RANSOHAN,Ransohan
RANSOHAN INTEGRATED SCHOOL,13.89481047,121.5915778,BARANGAY RANSOHAN,Ransohan
SALINAS ELEMENTARY SCHOOL,13.90980309,121.5915778,BARANGAY SALINAS,Salinas
TALAO-TALAO ELEMENTARY SCHOOL,13.91036463,121.6453797,BARANGAY TALAO-TALAO,Talao-talao
TALAO-TALAO BARANGAY HALL,13.91036463,121.6453456,"PUROK MASAGANA 1, BARANGAY TALAO-TALAO",Talao-talao
TALAO-TALAO BARANGAY HEALTH CENTER,13.90820214,121.6453456,"PUROK MASAGANA 1, BARANGAY TALAO-TALAO",Talao-talao
LEVY MALLARI WHITE HOUSE,13.90979694,121.6392048,"PUROK PITONG-GATANG, BARANGAY TALAO- TALAO",Talao-talao
TALAO-TALAO DAY CARE CENTER,13.90979694,121.6453495,"PUROK SAN ROQUE, BARANGAY TALAO-TALAO",Talao-talao
